zipcode,metro,composite_score,letter_grade
15203,Pittsburgh,41.30048963409472,D
15212,Pittsburgh,47.739849524344464,D
15233,Pittsburgh,36.18999194735599,D
15243,Pittsburgh,59.29695808686051,C
15003,Pittsburgh,57.454274924261725,C
15005,Pittsburgh,70.35225984471695,B
15006,Pittsburgh,59.381344391427476,C
15007,Pittsburgh,59.489766849733726,C
15014,Pittsburgh,30.840203055006008,F
15015,Pittsburgh,81.22149668383015,A
15018,Pittsburgh,68.97437107373702,B
15026,Pittsburgh,70.19440415329282,B
15028,Pittsburgh,59.49992680386006,C
15030,Pittsburgh,62.49215417702659,C
15034,Pittsburgh,47.136343705715724,D
15045,Pittsburgh,48.25056758385328,D
15047,Pittsburgh,53.702056553334984,C
15051,Pittsburgh,58.328132071098416,C
15057,Pittsburgh,64.41767457390276,C
15076,Pittsburgh,63.354884943536476,C
15088,Pittsburgh,36.80260029160644,D
15090,Pittsburgh,73.10461467047884,B
15101,Pittsburgh,69.11311962533873,B
15131,Pittsburgh,66.89022607401891,B
15140,Pittsburgh,44.325121180423494,D
15201,Pittsburgh,38.58708692735064,D
15205,Pittsburgh,57.517830910894986,C
15206,Pittsburgh,46.16051463507842,D
15222,Pittsburgh,37.64013766957533,D
15224,Pittsburgh,45.88772534624037,D
85032,Phoenix,35.322950468055026,D
85041,Phoenix,38.913124076754585,D
85050,Phoenix,47.208449230292615,D
85085,Phoenix,55.49077201027851,C
85204,Phoenix,32.34057401826949,F
85225,Phoenix,36.91834194269633,D
85257,Phoenix,35.82146914267469,D
85266,Phoenix,50.2285680886833,C
85029,Phoenix,35.4286481306754,D
85044,Phoenix,48.657683518968284,D
85051,Phoenix,28.091099216721254,F
85054,Phoenix,53.24791119299927,C
85264,Phoenix,46.43469621027637,D
85296,Phoenix,44.39125413283533,D
85342,Phoenix,49.33287892588423,D
85355,Phoenix,51.92564632743553,C
85201,Phoenix,31.711775078759835,F
85233,Phoenix,40.71934219606104,D
85295,Phoenix,43.83092014583355,D
85297,Phoenix,45.13335871887456,D
85363,Phoenix,31.46507407100966,F
85382,Phoenix,37.3727033911119,D
85043,Phoenix,35.88160395791464,D
85045,Phoenix,51.362463062245155,C
85208,Phoenix,32.40080565250263,F
85251,Phoenix,36.6408409634243,D
85254,Phoenix,41.78767965746175,D
85304,Phoenix,34.58031038187242,F
85323,Phoenix,43.97755699421208,D
85373,Phoenix,38.257880105021854,D
85383,Phoenix,54.762552757313934,C
85202,Phoenix,33.329375044544626,F
85206,Phoenix,31.883477930050116,F
85213,Phoenix,36.69303155329587,D
85249,Phoenix,43.46342569610003,D
85260,Phoenix,41.76335840286988,D
85283,Phoenix,37.394675404090975,D
85337,Phoenix,41.47524576515388,D
85390,Phoenix,44.524505016786875,D
85392,Phoenix,43.5479109335285,D
85007,Phoenix,28.70640679046477,F
85020,Phoenix,38.0535020409025,D
85083,Phoenix,53.63468506379873,C
85298,Phoenix,46.05845390627533,D
85307,Phoenix,46.807989485655824,D
85343,Phoenix,48.51512717358087,D
85374,Phoenix,33.71152852100664,F
85381,Phoenix,39.43098646650698,D
85396,Phoenix,51.47769131064298,C
85224,Phoenix,39.939131766618985,D
85250,Phoenix,43.88668297467555,D
85256,Phoenix,30.738783761228763,F
85262,Phoenix,56.16126711980006,C
85301,Phoenix,25.27160429766849,F
85321,Phoenix,38.294168772061326,D
85326,Phoenix,52.44801850874491,C
85331,Phoenix,55.43865014345073,C
85338,Phoenix,51.0379776088147,C
85013,Phoenix,36.390409743739546,D
85018,Phoenix,45.530442730365245,D
85040,Phoenix,31.23717072963146,F
85263,Phoenix,56.234774205693355,C
85303,Phoenix,38.85742578767819,D
85335,Phoenix,43.250896345403355,D
85340,Phoenix,49.62638779214393,D
85377,Phoenix,49.67521544289238,D
85395,Phoenix,41.11024351583508,D
85034,Phoenix,27.524771175712324,F
85053,Phoenix,31.61660752130821,F
85205,Phoenix,31.49782196164167,F
85248,Phoenix,45.89952575472146,D
85253,Phoenix,48.034147675767116,D
85284,Phoenix,42.25429919674605,D
85302,Phoenix,30.34525302683534,F
85305,Phoenix,43.05197300640418,D
85004,Phoenix,28.927838807752742,F
85006,Phoenix,29.597721051577373,F
85086,Phoenix,52.45759636956103,C
85139,Phoenix,47.256470625080894,D
85354,Phoenix,47.483776304274116,D
85387,Phoenix,47.637025506724555,D
85203,Phoenix,39.441775332514084,D
85255,Phoenix,54.536151422521456,C
85268,Phoenix,47.765854070698,D
85282,Phoenix,34.33398902948787,F
85308,Phoenix,38.49238547145693,D
85320,Phoenix,50.49190448407411,C
85322,Phoenix,48.171316276772245,D
85345,Phoenix,34.51959188954115,F
85120,Phoenix,37.89609750914915,D
85142,Phoenix,52.245682143127055,C
85212,Phoenix,50.176334219855164,C
85215,Phoenix,49.8977594052714,D
85226,Phoenix,51.26766963646968,C
85234,Phoenix,42.98604304189614,D
85258,Phoenix,42.80324054135798,D
85333,Phoenix,52.95363484518913,C
85016,Phoenix,36.62535392048008,D
85035,Phoenix,32.63524309053085,F
85210,Phoenix,30.03058646435831,F
85306,Phoenix,35.12549526940666,D
85309,Phoenix,51.8177953812623,C
85351,Phoenix,24.252177145207703,F
85353,Phoenix,46.184648943043946,D
85379,Phoenix,40.442698644398085,D
85545,Phoenix,34.172128442123665,F
85017,Phoenix,25.68652012305032,F
85024,Phoenix,46.582183421534324,D
85027,Phoenix,36.81924992063962,D
85048,Phoenix,46.81299990625419,D
85087,Phoenix,52.23181027995048,C
85209,Phoenix,36.958437916148206,D
85281,Phoenix,35.11668930470065,D
85339,Phoenix,53.13083261318945,C
85019,Phoenix,25.591159391192434,F
85021,Phoenix,33.42364630572047,F
85033,Phoenix,31.37799290950747,F
85037,Phoenix,39.984206903200615,D
85375,Phoenix,32.71965713980258,F
85388,Phoenix,46.59305828716042,D
85003,Phoenix,34.711956929974505,F
85008,Phoenix,36.60931464452318,D
85009,Phoenix,29.646510164866168,F
85012,Phoenix,38.33690173818154,D
85014,Phoenix,35.01794559662718,D
85015,Phoenix,27.82681887768527,F
85022,Phoenix,36.586235476080255,D
85023,Phoenix,35.99074610392551,D
85028,Phoenix,40.84937565602564,D
85031,Phoenix,27.868994850237904,F
85042,Phoenix,45.58719611704761,D
85207,Phoenix,43.81005016681828,D
85259,Phoenix,51.73946285028937,C
85286,Phoenix,45.370006694903466,D
85310,Phoenix,45.875800016235004,D
85361,Phoenix,49.52524465615167,D
28078,Charlotte,71.93728005582547,B
28104,Charlotte,69.66186596961283,B
28203,Charlotte,50.97959363949006,C
28206,Charlotte,33.796790886465615,F
28212,Charlotte,55.32154359506595,C
28214,Charlotte,62.47515060242306,C
28216,Charlotte,59.4335388457674,C
28226,Charlotte,69.19127638557117,B
28278,Charlotte,71.99180188540032,B
28036,Charlotte,74.34560461334428,B
28202,Charlotte,40.62253094199383,D
28204,Charlotte,46.10904018892707,D
28207,Charlotte,68.1172267083908,B
28209,Charlotte,62.29079486950328,C
28215,Charlotte,64.68086285489437,C
28269,Charlotte,61.21269786526835,C
28270,Charlotte,73.30680243948177,B
28277,Charlotte,65.11013150965925,B
28105,Charlotte,67.11250077886041,B
28134,Charlotte,54.3927120290143,C
28205,Charlotte,55.85857013548437,C
28210,Charlotte,64.10134486085636,C
28213,Charlotte,58.581760531553755,C
28217,Charlotte,58.78284057617947,C
28227,Charlotte,67.45460452289075,B
28262,Charlotte,64.66943292163836,C
28273,Charlotte,54.08507381252325,C
28027,Charlotte,60.878269671329164,C
28031,Charlotte,60.563813138695835,C
28107,Charlotte,70.36901974086463,B
28208,Charlotte,43.468310670291565,D
28211,Charlotte,68.32190616326147,B
90242,Los Angeles,36.665257762611155,D
90602,Los Angeles,48.35035643840662,D
90039,Los Angeles,42.866861439932805,D
90249,Los Angeles,30.96542782471628,F
90505,Los Angeles,41.41242388168894,D
90746,Los Angeles,32.383804967914806,F
91020,Los Angeles,40.212370296807634,D
91343,Los Angeles,37.817103665756036,D
91601,Los Angeles,35.8346676795833,D
91791,Los Angeles,47.10225532456938,D
93535,Los Angeles,46.491151162545066,D
90304,Los Angeles,30.925694265659228,F
90404,Los Angeles,32.7440258959494,F
90704,Los Angeles,58.64197694892149,C
91301,Los Angeles,61.00780755401921,C
91381,Los Angeles,63.97595056761696,C
91506,Los Angeles,38.269248191802944,D
91755,Los Angeles,44.408575035428754,D
93532,Los Angeles,57.36073946902215,C
90002,Los Angeles,26.852690729914336,F
90010,Los Angeles,35.922856982558166,D
90058,Los Angeles,18.680146386397794,F
90710,Los Angeles,32.65391891795542,F
90716,Los Angeles,32.296009803357165,F
90807,Los Angeles,39.453074829982434,D
91402,Los Angeles,33.318459634614605,F
91790,Los Angeles,40.62838526873083,D
90033,Los Angeles,27.32951298930907,F
90049,Los Angeles,62.8279464410759,C
90065,Los Angeles,44.52341336615427,D
90277,Los Angeles,44.95704176806815,D
90292,Los Angeles,41.69924102976657,D
90601,Los Angeles,50.57583823515391,C
91030,Los Angeles,52.56447182302233,C
91405,Los Angeles,32.55874645119765,F
90022,Los Angeles,31.078725239953634,F
90023,Los Angeles,28.43466842277905,F
90044,Los Angeles,25.56076385571285,F
90059,Los Angeles,27.67681627295154,F
90061,Los Angeles,25.430642265053216,F
90280,Los Angeles,32.40698821753628,F
90291,Los Angeles,41.508475754093666,D
90723,Los Angeles,30.888169587242565,F
91607,Los Angeles,39.73666853838167,D
90025,Los Angeles,38.33370748720718,D
90212,Los Angeles,36.87288292308041,D
90222,Los Angeles,28.78505222113835,F
90262,Los Angeles,31.850120086357677,F
90305,Los Angeles,33.46654039936359,F
90713,Los Angeles,39.04109700517175,D
91105,Los Angeles,53.306606292829855,C
91107,Los Angeles,51.10497320637455,C
91775,Los Angeles,48.64802710469562,D
90732,Los Angeles,46.493357278519134,D
91008,Los Angeles,62.1493739540707,C
91024,Los Angeles,59.72302925503803,C
91210,Los Angeles,27.23822342935244,F
91311,Los Angeles,56.192194181568624,C
91748,Los Angeles,51.255456701780375,C
91750,Los Angeles,58.52382702588753,C
91768,Los Angeles,41.106554450529885,D
91780,Los Angeles,43.47113179356731,D
90263,Los Angeles,53.231566473047224,C
90290,Los Angeles,68.87947463266836,B
90660,Los Angeles,38.166148603938026,D
90670,Los Angeles,32.86379737000985,F
91387,Los Angeles,59.51200032350864,C
91741,Los Angeles,62.39048914875684,C
93544,Los Angeles,44.61803056758072,D
93591,Los Angeles,46.64201847240407,D
90043,Los Angeles,30.453821257112608,F
90068,Los Angeles,59.47148622386349,C
90089,Los Angeles,28.615182738109155,F
90265,Los Angeles,63.835759166341944,C
90623,Los Angeles,40.95680432173043,D
90701,Los Angeles,37.38913091027118,D
91307,Los Angeles,51.14615456826387,C
91340,Los Angeles,35.31567916175915,D
91361,Los Angeles,61.753686192873715,C
90248,Los Angeles,33.26131410897409,F
91104,Los Angeles,44.99649576397909,D
91214,Los Angeles,57.999539705330605,C
91505,Los Angeles,37.55221050073605,D
91602,Los Angeles,43.61305644552847,D
91711,Los Angeles,55.466135563394914,C
91724,Los Angeles,47.27345311488092,D
91765,Los Angeles,60.2308272035508,C
90241,Los Angeles,36.80309847877437,D
90302,Los Angeles,30.395918817494504,F
90745,Los Angeles,35.62821541445097,D
91202,Los Angeles,54.98915222123732,C
91207,Los Angeles,47.37807244398661,D
91403,Los Angeles,48.90563829291949,D
91504,Los Angeles,54.64772195304214,C
91740,Los Angeles,42.21776059343128,D
90047,Los Angeles,27.838896958541262,F
90062,Los Angeles,28.799425982837306,F
90604,Los Angeles,40.432060440724285,D
90630,Los Angeles,39.112802589693565,D
91010,Los Angeles,46.841356337735164,D
91046,Los Angeles,29.092353230987257,F
91325,Los Angeles,41.550521094929124,D
91331,Los Angeles,36.40110652953278,D
90036,Los Angeles,39.332631859286906,D
