zipcode,metro,composite_score,letter_grade
85308,Phoenix,41.061770259882834,D
85338,Phoenix,25.46857086665385,F
85373,Phoenix,30.606945054297032,F
85395,Phoenix,29.154321240038165,F
28107,Charlotte,31.497638351598166,F
28027,Charlotte,36.864473301190344,D
28031,Charlotte,59.38441899524652,C
28036,Charlotte,45.03605942396471,D
28078,Charlotte,51.48715132448426,C
28104,Charlotte,44.18215067247311,D
28105,Charlotte,45.872859421473954,D
28202,Charlotte,63.17234969108428,C
28203,Charlotte,50.57822788163226,C
28204,Charlotte,55.97016028951721,C
28205,Charlotte,56.20591606666787,C
28206,Charlotte,44.351124966068326,D
28207,Charlotte,61.14166647787083,C
28208,Charlotte,44.331374551432226,D
28209,Charlotte,51.59269791802801,C
28210,Charlotte,53.21440326717922,C
28211,Charlotte,53.19710620468855,C
28212,Charlotte,51.71915859350723,C
28214,Charlotte,42.08605656706752,D
28216,Charlotte,42.710187778536636,D
28217,Charlotte,46.676318193587164,D
28226,Charlotte,54.0446503892183,C
28227,Charlotte,48.21188888369437,D
28262,Charlotte,53.59417488246916,C
28269,Charlotte,49.34068878109015,D
28270,Charlotte,47.5199104869894,D
28273,Charlotte,49.20948112814746,D
28277,Charlotte,53.122821922122995,C
28134,Charlotte,53.59136572372856,C
28213,Charlotte,44.43135786907318,D
28215,Charlotte,46.33183701194647,D
28278,Charlotte,51.59249507148339,C
90291,Los Angeles,72.57101526463504,B
90001,Los Angeles,67.7903710015747,B
90002,Los Angeles,62.01413256024259,C
90003,Los Angeles,56.24342974223854,C
90004,Los Angeles,72.3997538440351,B
90005,Los Angeles,71.13881877864705,B
90006,Los Angeles,70.39455566292861,B
90007,Los Angeles,72.32271533827793,B
90010,Los Angeles,75.23119447597932,B
90011,Los Angeles,64.50783843796724,C
90013,Los Angeles,65.68490458511994,B
90014,Los Angeles,67.76036153775141,B
90015,Los Angeles,64.54332003328575,C
90016,Los Angeles,61.41729403089171,C
90017,Los Angeles,71.29809738680801,B
90018,Los Angeles,62.93302748015858,C
90019,Los Angeles,67.27813124189754,B
90020,Los Angeles,76.20320282370518,B
90021,Los Angeles,63.462912428988794,C
90022,Los Angeles,59.81487299866553,C
90023,Los Angeles,53.500282735642145,C
90025,Los Angeles,78.88763711272631,B
90026,Los Angeles,65.05602013145736,B
90027,Los Angeles,74.17079021795938,B
90028,Los Angeles,71.35210041377141,B
90029,Los Angeles,71.42150314143586,B
90031,Los Angeles,56.68363677651615,C
90032,Los Angeles,54.33323122398023,C
90033,Los Angeles,54.781849009588264,C
90034,Los Angeles,74.0203758159018,B
90035,Los Angeles,74.8362097035825,B
90036,Los Angeles,77.11818386924247,B
90037,Los Angeles,65.89034972270359,B
90039,Los Angeles,56.161076198664304,C
90040,Los Angeles,38.99991053840769,D
90041,Los Angeles,69.4408635785357,B
90042,Los Angeles,66.66650689380057,B
90043,Los Angeles,44.62880133890214,D
90044,Los Angeles,54.02967418381141,C
90045,Los Angeles,58.87343396061351,C
90046,Los Angeles,73.55751553158154,B
90047,Los Angeles,48.09641074678666,D
90048,Los Angeles,77.20233556568147,B
90049,Los Angeles,58.70638134119916,C
90057,Los Angeles,71.62789268503447,B
90058,Los Angeles,64.6742544133326,C
90059,Los Angeles,50.87322261359509,C
90061,Los Angeles,45.60490319253563,D
90062,Los Angeles,46.94410717025556,D
90063,Los Angeles,57.39375094325071,C
90064,Los Angeles,72.26505247905983,B
90065,Los Angeles,57.976702741352575,C
90066,Los Angeles,69.45992072531004,B
90067,Los Angeles,51.63601643418396,C
90068,Los Angeles,59.546134801275784,C
90073,Los Angeles,32.678505077980724,F
90077,Los Angeles,49.293442497326794,D
90089,Los Angeles,76.54051647483925,B
90094,Los Angeles,57.301146587414685,C
90201,Los Angeles,63.43517956767165,C
90210,Los Angeles,58.455224491448604,C
90211,Los Angeles,72.6742706552911,B
90212,Los Angeles,73.41706006399752,B
90220,Los Angeles,52.573814064850225,C
90221,Los Angeles,66.61471214022232,B
90222,Los Angeles,58.51453152183998,C
90240,Los Angeles,60.9626549566852,C
90241,Los Angeles,68.37870645717864,B
90242,Los Angeles,65.31880120202783,B
90245,Los Angeles,48.713370823679355,D
90247,Los Angeles,66.8441110804668,B
90248,Los Angeles,66.14725973560047,B
90249,Los Angeles,66.5094824651392,B
90250,Los Angeles,66.711924548655,B
90254,Los Angeles,74.76102968269578,B
90255,Los Angeles,65.32417347075621,B
90260,Los Angeles,68.06780876049012,B
90263,Los Angeles,62.678505077980724,C
90265,Los Angeles,47.495009272219306,D
90266,Los Angeles,66.98159113805495,B
90270,Los Angeles,66.92172806792074,B
90272,Los Angeles,56.85527440161171,C
90274,Los Angeles,47.007367116900916,D
90275,Los Angeles,60.08422263464006,C
90277,Los Angeles,64.97238717861664,C
90278,Los Angeles,70.09143592632866,B
90280,Los Angeles,65.04041372707559,B
90290,Los Angeles,47.38365813274649,D
90301,Los Angeles,59.942212669220154,C
90302,Los Angeles,57.61576760124802,C
90303,Los Angeles,67.88111850073068,B
90304,Los Angeles,59.213661114651636,C
90305,Los Angeles,42.535613993550506,D
90401,Los Angeles,74.80153759753685,B
90402,Los Angeles,59.20904955356239,C
90403,Los Angeles,77.43617490880452,B
90404,Los Angeles,72.71219346885624,B
90405,Los Angeles,71.65128887657218,B
90501,Los Angeles,64.53399683071832,C
90503,Los Angeles,63.04328661959077,C
90504,Los Angeles,67.54259445836755,B
90505,Los Angeles,70.53698323572553,B
90601,Los Angeles,48.87376763484694,D
90602,Los Angeles,49.10711940284959,D
